Family_Number,Vehicle_Type,Vehicle_Ownership,Fuel_Type,Parking_Location_at_Home,New types
20801,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20284,Car,Household,Petrol,Roadside - Free,Car
20284,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20284,Car,Household,Petrol,Roadside - Free,Car
20284,Car,Household,Petrol,Roadside - Free,Car
20286,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20849,Car,Household,Petrol,Roadside - Free,Car
20849,Car,Household,Petrol,On-Site Residential - Free,Car
21245,Pick-Up,Household,Petrol,Roadside - Free,LGV
20005,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20005,Car,Household,Petrol,Roadside - Charged,Car
20005,Car,Household,Petrol,Roadside - Free,Car
20005,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20345,Large Car (SUV),Household,Petrol,On-Site Residential - Free,Car
20345,Large Car (SUV),Household,Petrol,On-Site Residential - Free,Car
23165,Car,Household,Petrol,Personal Garage (Home),Car
21488,Car,Household,Petrol,Personal Garage (Home),Car
21488,Car,Rental,Petrol,Roadside - Free,Car
20590,Pick-Up,Household,Diesel,Roadside - Free,LGV
21246,Car,Household,Petrol,Roadside - Free,Car
23058,Large Car (SUV),Household,Petrol,On-Site Residential - Free,Car
23058,Large Car (SUV),Household,Petrol,On-Site Residential - Free,Car
23164,Car,Household,Diesel,Personal Garage (Home),Car
20287,Car,Household,Petrol,Roadside - Free,Car
20287,Car,Household,Petrol,Roadside - Free,Car
20287,Car,Household,Petrol,Roadside - Free,Car
20287,Car,Household,Petrol,Roadside - Free,Car
23168,Car,Household,Petrol,Roadside - Free,Car
23977,Car,Household,Petrol,Roadside - Free,Car
23977,Car,Household,Petrol,Roadside - Free,Car
22390,Car,Household,Petrol,Roadside - Free,Car
20591,Car,Household,Petrol,Personal Garage (Home),Car
23163,Car,Household,Petrol,Personal Garage (Home),Car
20413,Car,Household,Petrol,Roadside - Free,Car
20413,Car,Household,Petrol,Roadside - Free,Car
20816,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21628,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21981,Car,Employer's,Petrol,Roadside - Free,Car
20006,Large Car (SUV),Household,Petrol,Roadside - Charged,Car
20006,Car,Household,Petrol,Roadside - Free,Car
20006,Car,Household,Petrol,Roadside - Free,Car
23169,Large Car (SUV),Household,Petrol,Roadside - Free,Car
24381,Large Car (SUV),Household,Petrol,Roadside - Free,Car
24343,Car,Household,Petrol,Roadside - Free,Car
20293,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20293,Car,Household,Petrol,Personal Garage (Home),Car
20293,Car,Household,Petrol,Personal Garage (Home),Car
24382,Pick-Up,Household,Petrol,Personal Garage (Home),LGV
20411,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20411,Car,Household,Petrol,Roadside - Free,Car
20007,Car,Household,Petrol,Roadside - Free,Car
20007,Car,Household,Petrol,Roadside - Free,Car
20007,Car,Household,Petrol,Roadside - Free,Car
22158,Car,Household,Petrol,Roadside - Free,Car
22158,Car,Household,Petrol,Roadside - Free,Car
22158,Car,Household,Petrol,Roadside - Free,Car
22158,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20976,Car,Household,Petrol,Personal Garage (Home),Car
23236,Car,Household,Petrol,On-Site Residential - Free,Car
21982,Car,Household,Petrol,Roadside - Free,Car
23162,Large Car (SUV),Household,Petrol,On-Site Residential - Free,Car
23978,Car,Household,Petrol,Roadside - Free,Car
24345,Car,Household,Petrol,Roadside - Free,Car
24345,Pick-Up,Household,Diesel,Roadside - Free,LGV
23112,Car,Household,Petrol,On-Site Residential - Free,Car
20689,Car,Rental,Petrol,Roadside - Free,Car
20689,Car,Rental,Petrol,Roadside - Free,Car
20689,Car,Rental,Petrol,Roadside - Free,Car
20650,Car,Household,Petrol,Roadside - Free,Car
20650,Car,Household,Petrol,Roadside - Free,Car
22391,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22391,Car,Household,Petrol,Personal Garage (Home),Car
20570,Large Car (SUV),Employer's,Petrol,Roadside - Free,Car
20570,Car,Household,Petrol,Roadside - Free,Car
24383,Car,Household,Petrol,Roadside - Free,Car
24217,Car,Household,Petrol,Personal Garage (Home),Car
22456,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20818,Pick-Up,Household,Petrol,Roadside - Free,LGV
23171,Large Car (SUV),Household,Petrol,Roadside - Free,Car
23171,Car,Household,Petrol,Roadside - Free,Car
23237,Car,Household,Petrol,Personal Garage (Home),Car
22392,Car,Household,Petrol,Roadside - Free,Car
23979,Car,Household,Petrol,Roadside - Free,Car
23979,Car,Household,Petrol,Roadside - Free,Car
24384,Car,Household,Petrol,Roadside - Free,Car
22499,Car,Household,Petrol,Personal Garage (Home),Car
22499,Car,Household,Petrol,Personal Garage (Home),Car
22159,Large Car (SUV),Household,Diesel,Personal Garage (Home),Car
22159,Car,Household,Petrol,Roadside - Free,Car
22159,Car,Household,Petrol,Roadside - Free,Car
22159,Car,Household,Petrol,Roadside - Free,Car
22457,Car,Household,Petrol,Personal Garage (Home),Car
21983,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20201,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20201,Car,Household,Petrol,Roadside - Free,Car
21094,Car,Household,Petrol,Roadside - Free,Car
21485,Large Car (SUV),Household,Petrol,Roadside - Free,Car
24385,Car,Household,Petrol,Roadside - Free,Car
20008,Car,Household,Petrol,Roadside - Free,Car
20008,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20651,Car,Household,Petrol,Roadside - Free,Car
20651,Car,Household,Petrol,Roadside - Free,Car
23172,Car,Household,Petrol,Roadside - Free,Car
20339,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20339,Car,Household,Petrol,Personal Garage (Home),Car
20819,Car,Household,Petrol,Roadside - Free,Car
22458,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
21487,Pick-Up,Household,Diesel,Roadside - Free,LGV
22393,Car,Household,Petrol,Personal Garage (Home),Car
22393,Car,Household,Petrol,Personal Garage (Home),Car
21984,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21984,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20202,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20202,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20202,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20202,Car,Employer's,Petrol,Personal Garage (Home),Car
20202,Car,Household,Petrol,Personal Garage (Home),Car
20652,Car,Household,Petrol,Roadside - Free,Car
20652,Car,Household,Petrol,Roadside - Free,Car
22160,Car,Household,Petrol,Roadside - Free,Car
22160,Car,Household,Petrol,Roadside - Free,Car
20690,Car,Rental,Petrol,Roadside - Free,Car
23239,Car,Household,Petrol,Roadside - Free,Car
20304,Car,Employer's,Petrol,Roadside - Free,Car
21305,Car,Employer's,Petrol,Roadside - Free,Car
22394,Car,Household,Petrol,Roadside - Free,Car
22394,Car,Household,Petrol,Roadside - Free,Car
20977,Car,Household,Petrol,Personal Garage (Home),Car
22459,Car,Employer's,Petrol,Roadside - Free,Car
21985,Car,Household,Petrol,Roadside - Free,Car
20009,Large Car (SUV),Employer's,Petrol,Roadside - Free,Car
20009,Car,Household,Petrol,Roadside - Free,Car
20009,Car,Household,Petrol,Roadside - Free,Car
20602,Car,Household,Petrol,Personal Garage (Home),Car
20602,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20414,Car,Household,Petrol,On-Site Residential - Free,Car
20813,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20813,Car,Household,Petrol,Roadside - Free,Car
20203,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22262,Car,Household,Petrol,Roadside - Free,Car
24304,Car,Household,Petrol,Roadside - Free,Car
20571,Car,Household,Petrol,On-Site Residential - Free,Car
22174,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22174,Car,Household,Petrol,Roadside - Free,Car
22201,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22201,Car,Household,Petrol,Personal Garage (Home),Car
22201,Car,Household,Petrol,Personal Garage (Home),Car
22460,Car,Household,Petrol,Personal Garage (Home),Car
20978,Car,Household,Petrol,Personal Garage (Home),Car
22395,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20572,Car,Household,Petrol,On-Site Residential - Free,Car
23980,Car,Household,Petrol,Roadside - Free,Car
23980,Car,Household,Petrol,Roadside - Free,Car
23980,Car,Household,Petrol,Roadside - Free,Car
20653,Car,Household,Petrol,Roadside - Free,Car
20653,Car,Household,Petrol,Roadside - Free,Car
22263,Car,Household,Petrol,Personal Garage (Home),Car
22263,Car,Household,Petrol,Personal Garage (Home),Car
20204,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20204,Car,Household,Petrol,Roadside - Free,Car
22461,Car,Household,Petrol,Personal Garage (Home),Car
20544,Car,Household,Petrol,Personal Garage (Home),Car
20544,Car,Household,Petrol,Personal Garage (Home),Car
20544,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
24303,Car,Household,Petrol,Roadside - Free,Car
20654,Car,Household,Petrol,Roadside - Free,Car
20654,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22202,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22202,Car,Household,Petrol,Personal Garage (Home),Car
22202,Car,Household,Petrol,Personal Garage (Home),Car
22176,Car,Household,Petrol,Roadside - Free,Car
22176,Car,Household,Petrol,Roadside - Free,Car
22265,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
23981,Car,Household,Petrol,Roadside - Free,Car
23981,Car,Household,Petrol,Roadside - Free,Car
20010,Car,Household,Petrol,Roadside - Free,Car
20010,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22668,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20601,Car,Household,Petrol,Personal Garage (Home),Car
24305,Car,Household,Petrol,Personal Garage (Home),Car
24305,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22267,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22267,Car,Household,Petrol,Personal Garage (Home),Car
22669,Car,Household,Petrol,Roadside - Free,Car
20059,Large Car (SUV),Household,Petrol,Roadside - Free,Car
23982,Car,Household,Petrol,Roadside - Free,Car
20684,Pick-Up,Employer's,Diesel,Roadside - Free,LGV
20684,Car,Household,Petrol,Roadside - Free,Car
20684,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22175,Car,Household,Petrol,Roadside - Free,Car
22175,Car,Household,Petrol,Roadside - Free,Car
22715,Car,Household,Petrol,Personal Garage (Home),Car
21307,Car,Household,Petrol,On-Site Residential - Free,Car
20060,Large Car (SUV),Household,Diesel,Roadside - Free,Car
22161,Car,Household,Petrol,Roadside - Free,Car
22165,Car,Household,Petrol,Roadside - Free,Car
22165,Car,Household,Petrol,Roadside - Free,Car
22165,Car,Household,Petrol,Roadside - Free,Car
22162,Large Car (SUV),Household,Diesel,Personal Garage (Home),Car
22162,Car,Household,Petrol,Roadside - Free,Car
22162,Car,Household,Petrol,Roadside - Free,Car
22162,Car,Household,Petrol,Roadside - Free,Car
20011,Car,Household,Petrol,Roadside - Free,Car
22163,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22163,Car,Household,Petrol,Roadside - Free,Car
22163,Car,Household,Petrol,Roadside - Free,Car
20879,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20012,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20012,Car,Household,Petrol,Roadside - Charged,Car
20012,Car,Employer's,Petrol,Roadside - Free,Car
20306,Car,Household,Petrol,Personal Garage (Home),Car
20306,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20237,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20237,Car,Household,Petrol,Roadside - Free,Car
20237,Car,Household,Petrol,Roadside - Free,Car
23117,Car,Household,Petrol,On-Site Residential - Free,Car
23117,Car,Household,Petrol,On-Site Residential - Free,Car
23117,Car,Household,Petrol,On-Site Residential - Free,Car
24348,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20823,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20823,Car,Household,Petrol,Personal Garage (Home),Car
20683,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20683,Car,Household,Petrol,Personal Garage (Home),Car
20880,Car,Household,Petrol,Roadside - Free,Car
20880,Car,Household,Petrol,Roadside - Free,Car
20880,Car,Household,Petrol,Roadside - Free,Car
20205,Car,Household,Petrol,Roadside - Free,Car
20307,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20307,Car,Household,Petrol,Roadside - Free,Car
22396,Car,Household,Petrol,Roadside - Free,Car
24349,Car,Household,Petrol,Roadside - Free,Car
20979,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20013,Car,Household,Petrol,Roadside - Free,Car
20013,Car,Household,Petrol,Roadside - Free,Car
20682,Pick-Up,Household,Petrol,Personal Garage (Home),LGV
20682,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20682,Car,Household,Petrol,Roadside - Free,Car
20238,Car,Household,Petrol,Personal Garage (Home),Car
20238,Car,Household,Petrol,Roadside - Free,Car
20238,Car,Household,Petrol,Roadside - Free,Car
20238,Car,Household,Petrol,Roadside - Free,Car
20238,Car,Household,Petrol,Roadside - Free,Car
23988,Car,Household,Petrol,Roadside - Free,Car
20820,Car,Household,Petrol,Roadside - Free,Car
20309,Car,Rental,Petrol,Roadside - Free,Car
20206,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20206,Large Car (SUV),Household,Petrol,Roadside - Free,Car
23100,Car,Household,Petrol,On-Site Residential - Free,Car
22397,Large Car (SUV),Household,Petrol,Roadside - Free,Car
21987,Car,Household,Petrol,Roadside - Free,Car
22269,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22269,Car,Household,Petrol,Roadside - Free,Car
20648,Car,Household,Petrol,Roadside - Free,Car
20648,Car,Household,Petrol,Roadside - Free,Car
20648,Car,Household,Petrol,Roadside - Free,Car
20648,Car,Household,Petrol,Roadside - Free,Car
20322,Car,Household,Petrol,On-Site Residential - Free,Car
23101,Car,Household,Petrol,Roadside - Free,Car
24350,Pick-Up,Household,Petrol,Roadside - Free,LGV
20142,Car,Household,Petrol,Roadside - Free,Car
21988,Car,Household,Petrol,Roadside - Free,Car
20239,Car,Household,Petrol,Roadside - Free,Car
22398,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20207,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20207,Car,Household,Petrol,Roadside - Free,Car
20207,Car,Household,Petrol,Personal Garage (Home),Car
20014,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20014,Car,Household,Petrol,Roadside - Free,Car
20014,Car,Household,Petrol,Roadside - Free,Car
22270,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22270,Car,Household,Petrol,Personal Garage (Home),Car
21570,Car,Household,Petrol,Personal Garage (Home),Car
21570,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20645,Car,Household,Petrol,Roadside - Free,Car
20645,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20310,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20310,Car,Household,Petrol,Roadside - Free,Car
23131,Car,Household,Petrol,On-Site Residential - Free,Car
20803,Car,Household,Petrol,Roadside - Free,Car
20882,Car,Household,Petrol,Roadside - Free,Car
24351,Car,Household,Petrol,Roadside - Free,Car
23252,Car,Household,Petrol,Roadside - Free,Car
20821,Car,Household,Petrol,Roadside - Free,Car
20821,Car,Household,Petrol,Roadside - Free,Car
24306,Car,Household,Petrol,Roadside - Free,Car
23102,Car,Employer's,Petrol,On-Site Residential - Free,Car
21989,Car,Household,Petrol,Roadside - Free,Car
20311,Car,Household,Petrol,Roadside - Free,Car
20311,Car,Household,Petrol,Roadside - Free,Car
21572,Car,Rental,Petrol,Personal Garage (Home),Car
22670,Car,Household,Petrol,Roadside - Free,Car
24220,Car,Household,Petrol,Personal Garage (Home),Car
23232,Car,Household,Petrol,Personal Garage (Home),Car
20373,Car,Household,Petrol,Roadside - Free,Car
20240,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20240,Car,Household,Petrol,Roadside - Free,Car
20240,Car,Household,Petrol,Roadside - Free,Car
20240,Car,Household,Petrol,Roadside - Free,Car
24386,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20312,Car,Household,Petrol,Personal Garage (Home),Car
22399,Car,Household,Petrol,Personal Garage (Home),Car
22399,Car,Household,Petrol,Personal Garage (Home),Car
22671,Car,Household,Petrol,Roadside - Free,Car
24308,Car,Household,Petrol,Roadside - Free,Car
24308,Pick-Up,Household,Petrol,Roadside - Free,LGV
24308,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20208,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20208,Car,Household,Petrol,Roadside - Free,Car
20208,Car,Household,Petrol,Roadside - Free,Car
20438,Car,Household,Petrol,Roadside - Free,Car
20438,Car,Household,Petrol,Roadside - Free,Car
23238,Car,Household,Petrol,Roadside - Free,Car
24218,Car,Household,Petrol,Personal Garage (Home),Car
22271,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22271,Car,Household,Petrol,Roadside - Free,Car
20313,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20313,Car,Household,Petrol,Personal Garage (Home),Car
24362,Large Car (SUV),Household,Petrol,Roadside - Free,Car
24362,Car,Household,Petrol,Roadside - Free,Car
24362,Car,Household,Petrol,Roadside - Free,Car
22672,Car,Household,Petrol,Roadside - Free,Car
20416,Car,Household,Petrol,On-Site Residential - Free,Car
23103,Car,Household,Petrol,On-Site Residential - Free,Car
22400,Car,Household,Petrol,Roadside - Free,Car
21494,Car,Household,Petrol,Personal Garage (Home),Car
21990,Car,Household,Petrol,Roadside - Free,Car
21990,Car,Household,Petrol,Roadside - Free,Car
20617,Car,Household,Petrol,Roadside - Free,Car
20617,Car,Household,Petrol,Personal Garage (Home),Car
20617,Car,Household,Petrol,Roadside - Free,Car
20655,Car,Household,Petrol,Roadside - Free,Car
20655,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20655,Car,Household,Petrol,Roadside - Free,Car
24387,Car,Household,Petrol,Roadside - Free,Car
20241,Car,Household,Petrol,Roadside - Free,Car
20241,Car,Household,Petrol,Roadside - Free,Car
21489,Pick-Up,Household,Diesel,Roadside - Free,LGV
24130,Car,Household,Petrol,Personal Garage (Home),Car
24307,Car,Household,Petrol,Roadside - Free,Car
23240,Car,Rental,Petrol,Roadside - Free,Car
20209,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20209,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22401,Car,Household,Petrol,Roadside - Free,Car
22673,Large Car (SUV),Household,Petrol,Roadside - Free,Car
23134,Car,Household,Petrol,On-Site Residential - Free,Car
23134,Car,Household,Petrol,On-Site Residential - Free,Car
23134,Car,Household,Petrol,On-Site Residential - Free,Car
21991,Car,Household,Petrol,Roadside - Free,Car
20015,Car,Household,Petrol,Roadside - Free,Car
20015,Car,Household,Petrol,Roadside - Free,Car
20015,Car,Household,Petrol,Roadside - Free,Car
20015,Car,Employer's,Petrol,Roadside - Charged,Car
20062,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22402,Car,Household,Petrol,Roadside - Free,Car
22274,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22203,Car,Household,Petrol,Personal Garage (Home),Car
22576,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20374,Car,Household,Petrol,Roadside - Free,Car
20143,Car,Household,Petrol,Roadside - Free,Car
20424,Car,Household,Petrol,Personal Garage (Home),Car
22275,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22275,Car,Rental,Petrol,Roadside - Free,Car
21493,Car,Household,Petrol,Roadside - Free,Car
24388,Car,Household,Petrol,Roadside - Charged,Car
24388,Pick-Up,Household,Petrol,Roadside - Free,LGV
20242,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20242,Car,Household,Petrol,Roadside - Free,Car
20242,Large Car (SUV),Household,Petrol,Roadside - Free,Car
20299,Car,Household,Petrol,Roadside - Free,Car
22403,Large Car (SUV),Household,Petrol,Roadside - Free,Car
24310,Pick-Up,Household,Petrol,Roadside - Free,LGV
24352,Pick-Up,Employer's,Petrol,Roadside - Free,LGV
22273,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20691,Pick-Up,Household,Petrol,Roadside - Free,LGV
20691,Pick-Up,Household,Petrol,Roadside - Free,LGV
20691,Pick-Up,Household,Petrol,Roadside - Free,LGV
20545,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20545,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
20545,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22577,Car,Household,Petrol,Personal Garage (Home),Car
24132,Car,Household,Petrol,Personal Garage (Home),Car
24132,Car,Household,Petrol,Personal Garage (Home),Car
23780,Large Car (SUV),Household,Petrol,Roadside - Free,Car
22276,Large Car (SUV),Household,Petrol,Personal Garage (Home),Car
22276,Car,Household,Petrol,Roadside - Free,Car
20063,Pick-Up,Household,Petrol,Roadside - Free,LGV
20243,Pick-Up,Employer's,Petrol,Personal Garage (Home),LGV
