Family_Number,Nearest_Bus_Station,Total_Deliveries,Food_Deliveries,Supermarket_Deliveries,Other_Deliveries,Packages_Deliveries
20312, don’t know ,4,2,0,0,2
22399, don’t know ,10,3,3,2,2
22671, More than 15 mins,0,0,0,0,0
24308,there is no bus service in my area,0,0,0,0,0
20208,there is no bus service in my area,1,1,0,0,0
20438,there is no bus service in my area,0,0,0,0,0
23238,6-10 mins walk,0,0,0,0,0
24218,there is no bus service in my area,6,2,1,0,3
22271, don’t know ,8,2,0,2,4
20313, don’t know ,2,1,0,0,1
24362,there is no bus service in my area,0,0,0,0,0
22672, More than 15 mins,0,0,0,0,0
20416, don’t know ,10,2,0,3,5
23103, don’t know ,2,1,0,0,1
22400,there is no bus service in my area,6,2,2,2,0
21494,there is no bus service in my area,2,1,1,0,0
21990, don’t know ,2,1,1,0,0
20617,there is no bus service in my area,0,0,0,0,0
20655, don’t know ,0,0,0,0,0
22272, don’t know ,2,0,0,1,1
24387,there is no bus service in my area,10,0,5,0,5
20241,there is no bus service in my area,0,0,0,0,0
21489,there is no bus service in my area,1,0,1,0,0
24130,there is no bus service in my area,0,0,0,0,0
24307,there is no bus service in my area,0,0,0,0,0
23240, don’t know ,0,0,0,0,0
20209,there is no bus service in my area,1,0,0,0,1
22401, don’t know ,11,4,3,2,2
22673, More than 15 mins,0,0,0,0,0
23134, don’t know ,0,0,0,0,0
21991, don’t know ,3,1,1,0,1
20634, don’t know ,0,0,0,0,0
20015, don’t know ,0,0,0,0,0
20062, don’t know ,6,3,2,0,1
22402, don’t know ,7,2,2,2,1
22274, don’t know ,4,2,0,0,2
22203,there is no bus service in my area,0,0,0,0,0
22576, don’t know ,2,2,0,0,0
20374, don’t know ,5,2,1,0,2
20143,there is no bus service in my area,3,1,1,0,1
20424,there is no bus service in my area,2,1,0,0,1
22275, don’t know ,6,2,1,0,3
21493,there is no bus service in my area,2,0,1,0,1
24388,there is no bus service in my area,17,2,5,1,9
20242,there is no bus service in my area,0,0,0,0,0
20299, don’t know ,6,1,1,1,3
22403, don’t know ,12,3,3,4,2
24310,there is no bus service in my area,0,0,0,0,0
24352,there is no bus service in my area,0,0,0,0,0
22273, don’t know ,2,1,0,0,1
20691, don’t know ,0,0,0,0,0
20545, don’t know ,12,2,2,2,6
22577, don’t know ,3,2,1,0,0
24132,there is no bus service in my area,10,2,3,0,5
23780, don’t know ,8,3,3,0,2
22276, don’t know ,0,0,0,0,0
20063,there is no bus service in my area,2,0,2,0,0
20243,there is no bus service in my area,0,0,0,0,0
20656, More than 15 mins,0,0,0,0,0
23990, don’t know ,0,0,0,0,0
20804, don’t know ,0,0,0,0,0
21497,there is no bus service in my area,3,0,1,1,1
22404, don’t know ,7,2,3,2,0
20614, don’t know ,10,2,3,0,5
22204,there is no bus service in my area,1,1,0,0,0
20144,there is no bus service in my area,7,2,1,1,3
20847,there is no bus service in my area,0,0,0,0,0
20546,there is no bus service in my area,10,2,2,1,5
20806, don’t know ,0,0,0,0,0
24309,there is no bus service in my area,0,0,0,0,0
20981,there is no bus service in my area,4,0,2,0,2
20064,there is no bus service in my area,5,1,2,0,2
20244,there is no bus service in my area,1,1,0,0,0
21571,there is no bus service in my area,2,0,1,1,0
20547, don’t know ,12,2,2,2,6
20210,there is no bus service in my area,0,0,0,0,0
20982,there is no bus service in my area,6,1,2,0,3
20573,there is no bus service in my area,3,1,1,0,1
21309,11  - 15 mins walk,0,0,0,0,0
20983,there is no bus service in my area,6,1,1,1,3
20065,there is no bus service in my area,4,2,0,0,2
20066,there is no bus service in my area,2,1,0,1,0
20017, don’t know ,0,0,0,0,0
20574,there is no bus service in my area,0,0,0,0,0
20768, don’t know ,6,2,4,0,0
20067, don’t know ,5,2,1,0,2
20616, More than 15 mins,6,1,2,0,3
22760, don’t know ,8,2,1,1,4
22164, don’t know ,4,0,1,1,2
22166, don’t know ,12,3,2,1,6
22167, don’t know ,2,0,0,1,1
22168, don’t know ,6,1,1,1,3
22554, don’t know ,6,1,1,1,3
22169, don’t know ,8,1,2,1,4
22560, don’t know ,4,0,1,1,2
22558, don’t know ,12,2,1,3,6
22170, don’t know ,4,1,1,0,2
23108, don’t know ,1,1,0,0,0
24353,there is no bus service in my area,0,0,0,0,0
20561, don’t know ,0,0,0,0,0
23106, don’t know ,1,1,0,0,0
23476,there is no bus service in my area,0,0,0,0,0
21986,there is no bus service in my area,2,1,1,0,0
23133, don’t know ,1,0,1,0,0
23107, don’t know ,2,1,0,0,1
21508,there is no bus service in my area,1,1,0,0,0
21992,there is no bus service in my area,4,2,2,0,0
23124, don’t know ,2,1,0,0,1
22578, don’t know ,0,0,0,0,0
22149,there is no bus service in my area,0,0,0,0,0
20018, don’t know ,2,1,0,0,1
21492, don’t know ,2,0,2,0,0
22405, don’t know ,10,3,3,2,2
23477, don’t know ,0,0,0,0,0
24389, don’t know ,6,0,3,0,3
22579, don’t know ,3,2,1,0,0
23229, don’t know ,2,0,1,0,1
20769, don’t know ,3,0,3,0,0
21993, don’t know ,5,2,2,0,1
23989,there is no bus service in my area,0,0,0,0,0
20995,there is no bus service in my area,4,2,0,0,2
23930,there is no bus service in my area,6,1,1,1,3
23564, don’t know ,6,1,1,1,3
22277, don’t know ,0,0,0,0,0
22121,there is no bus service in my area,3,1,1,0,1
21496, don’t know ,7,1,4,0,2
22205,there is no bus service in my area,1,0,0,0,1
21180, don’t know ,4,1,2,0,1
24355,there is no bus service in my area,0,0,0,0,0
20417,there is no bus service in my area,0,0,0,0,0
23478, More than 15 mins,0,0,0,0,0
22150,there is no bus service in my area,0,0,0,0,0
24549,there is no bus service in my area,2,0,1,0,1
21233,there is no bus service in my area,0,0,0,0,0
23115, don’t know ,2,1,0,0,1
24390, don’t know ,6,0,3,0,3
20635, don’t know ,0,0,0,0,0
21500, don’t know ,3,2,1,0,0
22171, don’t know ,6,2,1,0,3
20848,there is no bus service in my area,0,0,0,0,0
21994, don’t know ,2,0,2,0,0
23563, don’t know ,12,2,2,2,6
22580,6-10 mins walk,0,0,0,0,0
22406, don’t know ,6,3,2,1,0
22122,there is no bus service in my area,3,1,1,0,1
20213,there is no bus service in my area,1,0,0,0,1
23929, don’t know ,4,1,1,0,2
20807, don’t know ,0,0,0,0,0
24136,there is no bus service in my area,0,0,0,0,0
23562,there is no bus service in my area,12,2,3,1,6
22278, don’t know ,2,0,0,1,1
22151,there is no bus service in my area,0,0,0,0,0
20019, don’t know ,0,0,0,0,0
20418, don’t know ,0,0,0,0,0
23221, don’t know ,0,0,0,0,0
24370,there is no bus service in my area,0,0,0,0,0
20770, don’t know ,2,0,2,0,0
23479, don’t know ,0,0,0,0,0
24552,there is no bus service in my area,4,1,0,1,2
21499, don’t know ,3,0,1,0,2
22279, don’t know ,8,1,3,0,4
21995, don’t know ,5,1,2,0,2
22407,there is no bus service in my area,18,4,4,5,5
24624, don’t know ,0,0,0,0,0
22125,there is no bus service in my area,10,3,3,1,3
23555,there is no bus service in my area,16,2,4,2,8
22680, More than 15 mins,0,0,0,0,0
20325, don’t know ,0,0,0,0,0
23707,there is no bus service in my area,4,1,2,1,0
20884,< 5 mins walk,8,2,1,0,5
23921,there is no bus service in my area,2,1,0,0,1
20636, don’t know ,0,0,0,0,0
22581, don’t know ,3,2,0,1,0
23222, don’t know ,0,0,0,0,0
22152,there is no bus service in my area,0,0,0,0,0
20315, don’t know ,0,0,0,0,0
22280, don’t know ,6,1,2,0,3
23560,there is no bus service in my area,6,1,1,1,3
21134,there is no bus service in my area,0,0,0,0,0
23991, don’t know ,2,0,0,0,2
20375, don’t know ,5,2,1,0,2
22408, don’t know ,14,4,5,3,2
20562, don’t know ,14,2,5,0,7
20619,there is no bus service in my area,2,1,0,0,1
20316, don’t know ,0,0,0,0,0
20326, don’t know ,0,0,0,0,0
22209,there is no bus service in my area,0,0,0,0,0
23561,there is no bus service in my area,14,2,3,2,7
21959,there is no bus service in my area,6,1,3,1,1
24137,there is no bus service in my area,0,0,0,0,0
22582, don’t know ,6,2,3,1,0
22281, don’t know ,8,2,2,0,4
20419, don’t know ,0,0,0,0,0
20214,there is no bus service in my area,0,0,0,0,0
20318, don’t know ,0,0,0,0,0
23559,there is no bus service in my area,6,1,1,1,3
20885,< 5 mins walk,6,2,0,0,4
22675, More than 15 mins,0,0,0,0,0
22409, don’t know ,9,2,3,2,2
21996, don’t know ,3,0,3,0,0
24392, don’t know ,6,0,3,0,3
20637, don’t know ,4,2,2,0,0
24312,there is no bus service in my area,0,0,0,0,0
22282, don’t know ,2,0,0,1,1
20420, don’t know ,0,0,0,0,0
21211, don’t know ,2,1,0,0,1
20020, don’t know ,0,0,0,0,0
22410, don’t know ,7,2,2,2,1
22937, don’t know ,0,0,0,0,0
23540,there is no bus service in my area,4,1,1,0,2
20886, don’t know ,3,1,0,0,2
23992,there is no bus service in my area,0,0,0,0,0
22172, don’t know ,4,1,1,2,0
23538,there is no bus service in my area,4,1,1,0,2
20317, don’t know ,0,0,0,0,0
20610, More than 15 mins,2,1,1,0,0
22676, More than 15 mins,0,0,0,0,0
20846,there is no bus service in my area,5,3,0,0,2
20685,there is no bus service in my area,4,1,0,1,2
24138, don’t know ,6,1,2,0,3
23253, don’t know ,0,0,0,0,0
20771, don’t know ,6,2,4,0,0
21582, don’t know ,1,1,0,0,0
23541,there is no bus service in my area,4,1,1,0,2
22211,there is no bus service in my area,0,0,0,0,0
20984,there is no bus service in my area,4,0,2,0,2
20215,there is no bus service in my area,0,0,0,0,0
21997, don’t know ,4,2,2,0,0
20334, don’t know ,12,1,3,2,6
20687,there is no bus service in my area,0,0,0,0,0
24311,there is no bus service in my area,1,1,0,0,0
22212,there is no bus service in my area,0,0,0,0,0
22123,there is no bus service in my area,8,2,2,2,2
20985,there is no bus service in my area,4,1,0,1,2
24139,there is no bus service in my area,0,0,0,0,0
20686,there is no bus service in my area,6,0,1,2,3
21999, don’t know ,4,2,2,0,0
20638, don’t know ,5,0,3,0,2
21581, don’t know ,4,1,1,0,2
22677, More than 15 mins,0,0,0,0,0
24314,there is no bus service in my area,0,0,0,0,0
20772, don’t know ,7,2,5,0,0
20336, don’t know ,10,1,2,2,5
21112,there is no bus service in my area,0,0,0,0,0
20376, don’t know ,8,3,3,0,2
20406, don’t know ,0,0,0,0,0
20850,there is no bus service in my area,0,0,0,0,0
20421,there is no bus service in my area,8,2,0,2,4
20426, don’t know ,2,2,0,0,0
23928,there is no bus service in my area,0,0,0,0,0
20805, don’t know ,0,0,0,0,0
20681,there is no bus service in my area,6,2,0,1,3
24140,there is no bus service in my area,0,0,0,0,0
24315,there is no bus service in my area,0,0,0,0,0
20220,there is no bus service in my area,0,0,0,0,0
21079, don’t know ,5,1,3,1,0
22945,11  - 15 mins walk,0,0,0,0,0
20425, don’t know ,3,3,0,0,0
20854,there is no bus service in my area,2,1,0,0,1
21577, don’t know ,3,2,1,0,0
23993,there is no bus service in my area,3,0,0,0,3
20338, don’t know ,8,2,0,2,4
21232,there is no bus service in my area,0,0,0,0,0
21574,there is no bus service in my area,2,1,1,0,0
24313,there is no bus service in my area,2,1,0,1,0
23160,there is no bus service in my area,2,1,0,0,1
20852,there is no bus service in my area,2,1,1,0,0
22124,there is no bus service in my area,2,1,0,0,1
20407, don’t know ,1,0,0,0,1
21231,there is no bus service in my area,0,0,0,0,0
21082, don’t know ,3,2,0,0,1
20615,there is no bus service in my area,4,1,2,0,1
21584, don’t know ,0,0,0,0,0
21585,there is no bus service in my area,1,0,1,0,0
20423,there is no bus service in my area,1,0,1,0,0
20620,there is no bus service in my area,0,0,0,0,0
20069, don’t know ,1,0,1,0,0
20070, don’t know ,1,0,0,0,1
22950, don’t know ,3,1,1,1,0
20071, don’t know ,1,0,0,0,1
20072,there is no bus service in my area,0,0,0,0,0
20073,there is no bus service in my area,0,0,0,0,0
20074, don’t know ,4,0,1,3,0
20075,there is no bus service in my area,3,2,0,0,1
22173, don’t know ,10,2,1,2,5
22177, don’t know ,10,3,0,2,5
22178, don’t know ,4,1,1,0,2
20021, don’t know ,1,1,0,0,0
22961, don’t know ,0,0,0,0,0
22966, don’t know ,2,0,1,1,0
20377, don’t know ,7,3,2,0,2
22954, don’t know ,0,0,0,0,0
22179, don’t know ,2,0,0,1,1
22953, don’t know ,0,0,0,0,0
21027,there is no bus service in my area,4,2,1,0,1
23152,there is no bus service in my area,6,2,1,0,3
23051, don’t know ,1,1,0,0,0
22955, don’t know ,2,1,0,0,1
24094, don’t know ,7,2,3,0,2
20657, don’t know ,2,0,1,0,1
23052, don’t know ,2,1,1,0,0
21001,there is no bus service in my area,4,0,2,0,2
24356,there is no bus service in my area,1,0,0,1,0
22000, don’t know ,4,2,2,0,0
23480, More than 15 mins,6,1,0,2,3
22504, don’t know ,2,1,0,0,1
21103,there is no bus service in my area,0,0,0,0,0
20658, don’t know ,0,0,0,0,0
23053, don’t know ,2,2,0,0,0
22180, don’t know ,4,1,0,1,2
21506, don’t know ,0,0,0,0,0
20773, don’t know ,9,3,6,0,0
20288, don’t know ,6,1,1,1,3
20022,there is no bus service in my area,0,0,0,0,0
23154,there is no bus service in my area,4,1,1,0,2
22035, don’t know ,4,2,2,0,0
22411,there is no bus service in my area,11,3,4,2,2
23386, don’t know ,0,0,0,0,0
21504, don’t know ,0,0,0,0,0
20564, don’t know ,4,0,2,0,2
22503, don’t know ,4,0,0,2,2
24129,there is no bus service in my area,4,1,1,0,2
22036, don’t know ,6,3,3,0,0
24360,there is no bus service in my area,0,0,0,0,0
23120, don’t know ,2,1,0,0,1
22185,there is no bus service in my area,1,1,0,0,0
23994, don’t know ,0,0,0,0,0
20289, don’t know ,4,1,0,1,2
21505, don’t know ,0,0,0,0,0
21147,there is no bus service in my area,0,0,0,0,0
23121, don’t know ,1,0,1,0,0
24361,there is no bus service in my area,1,0,0,0,1
23923,there is no bus service in my area,0,0,0,0,0
20659, don’t know ,0,0,0,0,0
22038, don’t know ,6,3,3,0,0
22502, don’t know ,0,0,0,0,0
24219,there is no bus service in my area,4,1,1,0,2
22181, don’t know ,10,2,1,2,5
21502, don’t know ,3,2,1,0,0
24393,there is no bus service in my area,6,1,4,0,1
22682, More than 15 mins,3,0,1,0,2
20774, don’t know ,10,6,4,0,0
22596,there is no bus service in my area,11,4,3,2,2
22186,there is no bus service in my area,0,0,0,0,0
23126, don’t know ,2,0,1,0,1
20565, don’t know ,0,0,0,0,0
22678, More than 15 mins,2,1,1,0,0
24363,there is no bus service in my area,0,0,0,0,0
24221,there is no bus service in my area,3,1,1,0,1
22009,there is no bus service in my area,7,3,2,0,2
22597, don’t know ,10,3,2,2,3
23922,there is no bus service in my area,2,1,0,0,1
23995,there is no bus service in my area,0,0,0,0,0
24394, don’t know ,8,0,4,0,4
22679, More than 15 mins,2,2,0,0,0
23145,there is no bus service in my area,0,0,0,0,0
20023, don’t know ,0,0,0,0,0
22500, don’t know ,4,0,0,2,2
23123, don’t know ,1,0,0,0,1
24365,there is no bus service in my area,1,0,0,0,1
21579,there is no bus service in my area,2,1,1,0,0
22598,there is no bus service in my area,11,4,3,2,2
22584,11  - 15 mins walk,5,2,1,2,0
20660,there is no bus service in my area,0,0,0,0,0
24222,there is no bus service in my area,0,0,0,0,0
22039, don’t know ,7,3,2,0,2
20775, don’t know ,10,3,7,0,0
24317,there is no bus service in my area,0,0,0,0,0
22187,there is no bus service in my area,0,0,0,0,0
20887, don’t know ,5,1,4,0,0
20290, don’t know ,4,1,1,0,2
22709, More than 15 mins,2,1,1,0,0
23924,there is no bus service in my area,4,1,0,1,2
